castFemalePercentage,crewFemalePercentage,budget_x,revenue_x,movieDatasetRevenueRatio,budget_y,revenue_y,bechdelRevenueRatio,vote_average,vote_count,runtime,binary,nowomen,notalk,men,dubious,ok,clean_test
40.0,13.3,1000000,21378361.0,21.378361,18000000,66559638.0,3.6977576667,6.4,318.0,89.0,1,0,0,0,0,1,ok
15.4,8.3,6000000,50244700.0,8.3741166667,6000000,50489400.0,8.4149,6.9,720.0,99.0,0,1,0,0,0,0,nowomen
40.0,0.0,400000,5028948.0,12.57237,400000,8456644.0,21.14161,7.8,1742.0,91.0,0,0,0,1,0,0,men
21.7,14.3,27000000,231976425.0,8.5917194444,35000000,310432748.0,8.8695070857,7.0,559.0,162.0,1,0,0,0,0,1,ok
29.2,25.0,3000000,108981275.0,36.3270916667,4400000,217962550.0,49.5369431818,8.3,3001.0,133.0,0,0,0,1,0,0,men
7.9,15.6,18000000,538400000.0,29.9111111111,23000000,824443920.0,35.8453878261,8.2,5998.0,124.0,0,1,0,0,0,0,nowomen
23.5,27.8,16000000,30857814.0,1.928613375,15000000,61714000.0,4.1142666667,7.6,1518.0,98.0,0,0,0,1,0,0,men
4.0,11.5,18000000,389925971.0,21.6625539444,20000000,638085942.0,31.9042971,7.7,3949.0,115.0,0,1,0,0,0,0,nowomen
31.8,23.8,18500000,183316455.0,9.9089975676,17000000,268476703.0,15.7927472353,7.7,3282.0,137.0,1,0,0,0,0,1,ok
12.9,3.2,31500000,89460381.0,2.8400120952,31500000,157600000.0,5.0031746032,8.0,2112.0,153.0,0,1,0,0,0,0,nowomen
11.4,0.0,32350000,572700000.0,17.7032457496,32500000,881905079.0,27.1355408923,7.9,4763.0,135.0,0,1,0,0,0,0,nowomen
29.3,22.9,25000000,46836394.0,1.87345576,25000000,93487618.0,3.73950472,8.2,3211.0,145.0,0,0,0,1,0,0,men
37.5,9.1,11000000,104931801.0,9.5392546364,9000000,284561260.0,31.6179177778,7.9,4564.0,117.0,1,0,0,0,0,1,ok
25.0,16.7,27000000,115229890.0,4.2677737037,27000000,114459780.0,4.2392511111,7.5,1092.0,133.0,0,0,1,0,0,0,notalk
22.9,3.7,13000000,47542841.0,3.6571416154,13000000,114600000.0,8.8153846154,8.3,3418.0,200.0,1,0,0,0,0,1,ok
24.0,18.8,18000000,51973029.0,2.8873905,18000000,103946058.0,5.774781,7.8,1107.0,160.0,1,0,0,0,0,1,ok
