castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
28.6,0.0,8,16.0,2.0,0,6.4,139.0,98.0,1995.0,0.6658,en,10.187623,The Prophecy,The Prophecy
50.0,12.5,45000000,20350754.0,0.4522389778,0,4.9,261.0,128.0,1995.0,0.7233,en,17.502375,Showgirls,Showgirls
37.7,14.6,35000000,113374103.0,3.2392600857,0,5.5,457.0,108.0,1995.0,0.5123,en,13.492845,Species,Species
28.6,42.9,42000000,7959291.0,0.1895069286,1,6.8,334.0,145.0,1995.0,0.7808,en,11.223055,Strange Days,Strange Days
56.2,33.3,14000000,5780000.0,0.4128571429,0,4.6,9.0,99.0,1995.0,0.6849,en,1.820419,The Tie That Binds,The Tie That Binds
27.3,7.7,60000000,104324083.0,1.7387347167,0,5.6,217.0,100.0,1995.0,0.5288,en,7.490247,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory
50.0,17.9,20000000,50012507.0,2.50062535,0,6.5,168.0,103.0,1995.0,0.6082,en,9.715639,A Walk in the Clouds,A Walk in the Clouds
40.0,0.0,2800000,2616503.0,0.9344653571,0,6.7,35.0,135.0,1994.0,0.3288,ru,2.486073,Утомлённые солнцем,Burnt by the Sun
42.9,57.1,2500000,5535405.0,2.214162,0,7.7,984.0,105.0,1995.0,0.0712,en,11.304979,Before Sunrise,Before Sunrise
21.4,27.8,10000000,26488734.0,2.6488734,1,6.2,464.0,89.0,1995.0,0.1096,en,6.638116,Billy Madison,Billy Madison
0.0,0.0,27000,3151130.0,116.7085185185,0,7.4,769.0,92.0,1994.0,0.6986,en,10.513367,Clerks,Clerks
58.3,11.1,25000000,22200000.0,0.888,0,6.3,184.0,97.0,1994.0,0.7479,en,7.438934,Don Juan DeMarco,Don Juan DeMarco
50.0,0.0,55000000,214015089.0,3.8911834364,0,5.9,217.0,123.0,1994.0,0.937,en,11.812244,Disclosure,Disclosure
20.4,22.2,18000000,5887457.0,0.3270809444,0,7.3,639.0,127.0,1994.0,0.737,en,11.720358,Ed Wood,Ed Wood
0.0,0.0,700000,7830611.0,11.1865871429,0,7.7,91.0,171.0,1994.0,0.6959,en,9.47666,Hoop Dreams,Hoop Dreams
60.0,12.5,5000000,3049135.0,0.609827,0,6.9,299.0,99.0,1994.0,0.6685,en,9.438042,Heavenly Creatures,Heavenly Creatures
25.0,0.0,10500000,26325256.0,2.5071672381,0,6.0,17.0,113.0,1995.0,0.0137,en,2.688562,Houseguest,Houseguest
41.7,33.3,14000000,2474000.0,0.1767142857,0,5.2,10.0,139.0,1995.0,0.2438,en,1.596058,Jefferson in Paris,Jefferson in Paris
48.0,25.0,60000000,37000000.0,0.6166666667,0,4.7,381.0,109.0,1994.0,0.8904,en,6.710215,Junior,Junior
6.0,16.7,11000000,775398007.0,70.4907279091,0,8.1,6778.0,121.0,1977.0,0.3945,en,42.149697,Star Wars,Star Wars
60.0,50.0,2000000,21665468.0,10.832734,0,6.6,70.0,105.0,1992.0,0.2896,es,4.126083,Como agua para chocolate,Like Water for Chocolate
25.0,25.0,30000000,160638883.0,5.3546294333,0,7.2,636.0,133.0,1994.0,0.9562,en,12.199047,Legends of the Fall,Legends of the Fall
55.6,50.0,17000000,7603766.0,0.4472803529,0,6.4,28.0,106.0,1995.0,0.2055,en,7.698526,Losing Isaiah,Losing Isaiah
25.0,16.7,45000000,112006296.0,2.4890288,0,6.1,272.0,123.0,1994.0,0.8411,en,14.287753,Frankenstein,Mary Shelley's Frankenstein
40.0,0.0,6,5.0,0.8333333333,0,5.6,7.0,95.0,1995.0,0.0712,en,1.137266,Miami Rhapsody,Miami Rhapsody
20.0,27.3,31000000,106683817.0,3.4414134516,0,6.1,128.0,112.0,1994.0,0.9753,en,5.930957,Nell,Nell
