castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
28.6,12.5,8000000,529766.0,0.06622075,0,6.7,87.0,116.0,1995.0,0.9151,en,4.486179,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead
50.0,0.0,0,0.0,-1.0,0,4.5,2.0,115.0,1996.0,0.0683,en,0.252287,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored
57.1,50.0,0,0.0,-1.0,2,6.3,17.0,118.0,1995.0,0.6904,en,2.15166,Angels and Insects,Angels and Insects
6.7,0.0,38000000,10300000.0,0.2710526316,0,6.3,86.0,129.0,1996.0,0.0874,en,9.568604,White Squall,White Squall
33.3,0.0,16000000,0.0,-1.0,2,5.1,59.0,88.0,1996.0,0.0301,en,4.814825,Dunston Checks In,Dunston Checks In
7.7,0.0,0,32.0,-1.0,2,6.0,124.0,87.0,1996.0,0.0847,en,8.963037,Black Sheep,Black Sheep
33.3,11.1,8169363,8175346.0,1.0007323704,0,6.1,190.0,90.0,1995.0,0.8904,en,6.848591,Nick of Time,Nick of Time
20.0,22.2,0,0.0,-1.0,0,6.7,3.0,91.0,1995.0,0.7014,en,0.411424,The Journey of August King,The Journey of August King
33.3,45.5,47000000,12379402.0,0.2633915319,2,5.7,77.0,104.0,1996.0,0.1448,en,12.866139,Mary Reilly,Mary Reilly
25.0,12.5,14000000,19800000.0,1.4142857143,0,4.5,113.0,100.0,1995.0,0.8164,en,9.071127,Vampire in Brooklyn,Vampire in Brooklyn
44.4,28.6,0,0.0,-1.0,0,6.6,103.0,112.0,1996.0,0.1066,en,4.670562,Beautiful Girls,Beautiful Girls
7.1,0.0,50000000,150270147.0,3.00540294,0,5.7,459.0,108.0,1996.0,0.1066,en,14.957626,Broken Arrow,Broken Arrow
33.3,14.3,0,0.0,-1.0,0,7.5,6.0,99.0,1995.0,0.9151,en,0.513391,A Midwinter's Tale,A Midwinter's Tale
26.7,0.0,0,0.0,-1.0,0,5.6,13.0,105.0,1994.0,0.9288,en,2.657647,Shopping,Shopping
33.3,0.0,0,0.0,-1.0,0,6.8,4.0,106.0,1995.0,0.9863,en,0.638211,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam
14.3,0.0,0,0.0,-1.0,0,6.0,67.0,111.0,1996.0,0.1257,en,4.807223,City Hall,City Hall
16.7,18.8,7000000,560069.0,0.0800098571,0,6.8,285.0,91.0,1996.0,0.1393,en,6.904831,Bottle Rocket,Bottle Rocket
62.5,0.0,0,0.0,-1.0,0,3.3,16.0,96.0,1996.0,0.1257,en,3.329264,Mr. Wrong,Mr. Wrong
37.5,14.3,18000000,0.0,-1.0,0,5.3,22.0,106.0,1996.0,0.1448,en,2.464425,Unforgettable,Unforgettable
9.1,0.0,12000000,41205099.0,3.43375825,0,6.5,767.0,92.0,1996.0,0.1257,en,9.592265,Happy Gilmore,Happy Gilmore
57.1,20.0,24000000,182016617.0,7.5840257083,0,7.3,397.0,135.0,1995.0,0.4027,en,5.951077,The Bridges of Madison County,The Bridges of Madison County
14.3,0.0,0,34327391.0,-1.0,0,6.5,93.0,100.0,1996.0,0.1257,en,6.902423,Muppet Treasure Island,Muppet Treasure Island
3.3,4.0,72000000,210000000.0,2.9166666667,0,7.7,3404.0,177.0,1995.0,0.3918,en,20.755149,Braveheart,Braveheart
27.3,27.3,1300000,28262574.0,21.7404415385,0,8.1,2632.0,114.0,1976.0,0.1011,en,14.092713,Taxi Driver,Taxi Driver
30.8,0.0,35000000,0.0,-1.0,0,5.8,37.0,108.0,1996.0,0.1448,en,2.938293,Before and After,Before and After
60.0,14.3,0,0.0,-1.0,0,7.5,2.0,114.0,1995.0,0.6986,en,0.372697,Margaret's Museum,Margaret's Museum
20.0,33.3,13365000,0.0,-1.0,0,7.0,23.0,106.0,1995.0,0.0822,en,1.254885,Le Bonheur est dans le pré,Happiness Is in the Field
23.1,50.0,0,0.0,-1.0,2,6.9,19.0,99.0,1995.0,0.0521,en,6.178497,The Young Poisoner's Handbook,The Young Poisoner's Handbook
